"url","priority","tier","type"
"/calculators","100","Tier 3","other"
"/calculators/chemical-calculator","100","Tier 1","calculator"
"/calculators/hot-tub-chlorine-calculator","100","Tier 1","calculator"
"/calculators/hot-tub-ph-calculator","100","Tier 1","calculator"
"/calculators/hot-tub-shock-calculator","100","Tier 1","calculator"
"/calculators/pool-alkalinity-calculator","100","Tier 1","calculator"
"/calculators/pool-chlorine-calculator","100","Tier 1","calculator"
"/calculators/pool-cyanuric-acid-calculator","100","Tier 1","calculator"
"/calculators/pool-ph-calculator","100","Tier 1","calculator"
"/calculators/pool-shock-calculator","100","Tier 1","calculator"
"/calculators/pool-turnover-rate-calculator","100","Tier 1","calculator"
"/calculators/pool-volume-calculator","100","Tier 1","calculator"
"/calculators/saltwater-pool-salt-calculator","100","Tier 1","calculator"
"/calculators/spa-volume-calculator","100","Tier 1","calculator"
"/es/calculators/chemical-calculator","100","Tier 3","other"
"/es/calculators/hot-tub-chlorine-calculator","100","Tier 3","other"
"/es/calculators/hot-tub-ph-calculator","100","Tier 3","other"
"/es/calculators/hot-tub-shock-calculator","100","Tier 3","other"
"/es/calculators/pool-alkalinity-calculator","100","Tier 3","other"
"/es/calculators/pool-chlorine-calculator","100","Tier 3","other"
"/es/calculators/pool-cyanuric-acid-calculator","100","Tier 3","other"
"/es/calculators/pool-ph-calculator","100","Tier 3","other"
"/es/calculators/pool-shock-calculator","100","Tier 3","other"
"/es/calculators/pool-turnover-rate-calculator","100","Tier 3","other"
"/es/calculators/pool-volume-calculator","100","Tier 3","other"
"/es/calculators/saltwater-pool-salt-calculator","100","Tier 3","other"
"/es/calculators/spa-volume-calculator","100","Tier 3","other"
"/charts/pool-water-balance-chart","100","Tier 1","chart"
"/resources","100","Tier 3","other"
"/resources/airbnb-pool-turnover-checklist","100","Tier 2","resource"
"/resources/hot-tub-maintenance-log","100","Tier 2","resource"
"/resources/pool-chemical-log-sheet","100","Tier 2","resource"
"/resources/pool-closing-checklist","100","Tier 2","resource"
"/resources/pool-maintenance-checklist","100","Tier 2","resource"
"/resources/pool-opening-checklist","100","Tier 2","resource"
"/resources/pool-shock-log","100","Tier 2","resource"
"/resources/water-test-log","100","Tier 2","resource"
"/academy","100","Tier 3","other"
"/academy/equipment","100","Tier 2","academy"
"/academy/equipment/automatic-chlorinators","100","Tier 2","academy"
"/academy/equipment/pool-filters","100","Tier 2","academy"
"/academy/equipment/pool-pumps","100","Tier 2","academy"
"/academy/equipment/pool-skimmers","100","Tier 2","academy"
"/academy/equipment/salt-systems","100","Tier 2","academy"
"/academy/equipment/sand-vs-cartridge-filters","100","Tier 2","academy"
"/academy/fundamentals","100","Tier 2","academy"
"/academy/fundamentals/how-temperature-changes-water-chemistry","100","Tier 2","academy"
"/academy/fundamentals/how-water-balance-works","100","Tier 2","academy"
"/academy/fundamentals/indoor-pool-chemistry","100","Tier 2","academy"
"/academy/fundamentals/new-pool-startup-chemistry","100","Tier 2","academy"
"/academy/fundamentals/pool-vs-hot-tub-chemistry","100","Tier 2","academy"
"/academy/fundamentals/the-four-core-water-tests","100","Tier 2","academy"
"/academy/fundamentals/understanding-pool-water-chemistry","100","Tier 2","academy"
"/academy/fundamentals/why-water-testing-matters","100","Tier 2","academy"
"/academy/hot-tubs","100","Tier 2","academy"
"/academy/hot-tubs/daily-spa-maintenance","100","Tier 2","academy"
"/academy/hot-tubs/monthly-spa-maintenance","100","Tier 2","academy"
"/academy/hot-tubs/refilling-your-hot-tub","100","Tier 2","academy"
