"url","lastReviewed","platformVersion"
"/calculators","2026-09-03","1.0.0"
"/calculators/chemical-calculator","2026-09-03","1.0.0"
"/calculators/hot-tub-chlorine-calculator","2026-09-03","1.0.0"
"/calculators/hot-tub-ph-calculator","2026-09-03","1.0.0"
"/calculators/hot-tub-shock-calculator","2026-09-03","1.0.0"
"/calculators/pool-alkalinity-calculator","2026-09-03","1.0.0"
"/calculators/pool-chlorine-calculator","2026-09-03","1.0.0"
"/calculators/pool-cyanuric-acid-calculator","2026-09-03","1.0.0"
"/calculators/pool-ph-calculator","2026-09-03","1.0.0"
"/calculators/pool-shock-calculator","2026-09-03","1.0.0"
"/calculators/pool-turnover-rate-calculator","2026-09-03","1.0.0"
"/calculators/pool-volume-calculator","2026-09-03","1.0.0"
"/calculators/saltwater-pool-salt-calculator","2026-09-03","1.0.0"
"/calculators/spa-volume-calculator","2026-09-03","1.0.0"
"/es/calculators/chemical-calculator","2026-09-03","1.0.0"
"/es/calculators/hot-tub-chlorine-calculator","2026-09-03","1.0.0"
"/es/calculators/hot-tub-ph-calculator","2026-09-03","1.0.0"
"/es/calculators/hot-tub-shock-calculator","2026-09-03","1.0.0"
"/es/calculators/pool-chlorine-calculator","2026-09-03","1.0.0"
"/es/calculators/pool-ph-calculator","2026-09-03","1.0.0"
"/es/calculators/pool-shock-calculator","2026-09-03","1.0.0"
"/es/calculators/pool-volume-calculator","2026-09-03","1.0.0"
"/es/calculators/spa-volume-calculator","2026-09-03","1.0.0"
"/charts","2026-09-03","1.0.0"
"/charts/pool-water-balance-chart","2026-09-03","1.0.0"
"/resources","2026-09-03","1.0.0"
"/resources/airbnb-pool-turnover-checklist","2026-09-03","1.0.0"
"/resources/hot-tub-maintenance-log","2026-09-03","1.0.0"
"/resources/pool-chemical-log-sheet","2026-09-03","1.0.0"
"/resources/pool-closing-checklist","2026-09-03","1.0.0"
"/resources/pool-maintenance-checklist","2026-09-03","1.0.0"
"/resources/pool-opening-checklist","2026-09-03","1.0.0"
"/resources/pool-shock-log","2026-09-03","1.0.0"
"/resources/water-test-log","2026-09-03","1.0.0"
"/academy","2026-09-03","1.0.0"
"/academy/equipment","2026-09-03","1.0.0"
"/academy/fundamentals","2026-09-03","1.0.0"
"/academy/hot-tubs","2026-09-03","1.0.0"
"/academy/sanitizers","2026-09-03","1.0.0"
"/academy/testing","2026-09-03","1.0.0"
"/academy/troubleshooting","2026-09-03","1.0.0"
"/academy/vacation-rentals","2026-09-03","1.0.0"
"/academy/water-balance","2026-09-03","1.0.0"
"/formulas","2026-09-03","1.0.0"
"/glossary","2026-09-03","1.0.0"
"/reference","2026-09-03","1.0.0"
"/reference/calcium-hardness-explained","2026-09-03","1.0.0"
"/reference/chlorine-explained","2026-09-03","1.0.0"
"/reference/combined-chlorine-explained","2026-09-03","1.0.0"
"/reference/common-pool-chemistry-mistakes","2026-09-03","1.0.0"
"/reference/cyanuric-acid-explained","2026-09-03","1.0.0"
"/reference/datasets","2026-09-03","1.0.0"
"/reference/datasets/chemical-properties","2026-09-03","1.0.0"
"/reference/datasets/chemical-ranges","2026-09-03","1.0.0"
"/reference/datasets/compatibility","2026-09-03","1.0.0"
"/reference/datasets/confidence-levels","2026-09-03","1.0.0"
"/reference/datasets/conversion-factors","2026-09-03","1.0.0"
"/reference/datasets/dosage-matrices","2026-09-03","1.0.0"
"/reference/datasets/hot-tub-ranges","2026-09-03","1.0.0"
"/reference/datasets/maintenance-schedules","2026-09-03","1.0.0"
"/reference/datasets/pool-types","2026-09-03","1.0.0"
"/reference/datasets/temperature-guidelines","2026-09-03","1.0.0"
"/reference/datasets/testing-frequency","2026-09-03","1.0.0"
"/reference/datasets/units","2026-09-03","1.0.0"
"/reference/datasets/version","2026-09-03","1.0.0"
"/reference/datasets/water-balance","2026-09-03","1.0.0"
"/reference/datasets/water-problems","2026-09-03","1.0.0"
"/reference/free-chlorine-explained","2026-09-03","1.0.0"
"/reference/pool-chemicals-explained","2026-09-03","1.0.0"
"/reference/pool-chemistry-reference","2026-09-03","1.0.0"
"/reference/salt-water-generator-explained","2026-09-03","1.0.0"
"/reference/shock-treatment-explained","2026-09-03","1.0.0"
"/reference/total-alkalinity-explained","2026-09-03","1.0.0"
"/guides","2026-09-03","1.0.0"
"/guides/advanced","2026-09-03","1.0.0"
"/guides/advanced/chlorine-breakdown-sunlight","2026-09-03","1.0.0"
"/guides/advanced/chlorine-vs-saltwater","2026-09-03","1.0.0"
"/guides/advanced/cya-stabilizer-explained","2026-09-03","1.0.0"
"/guides/advanced/pool-chemistry-balance-explained","2026-09-03","1.0.0"
"/guides/alkalinity-guide","2026-09-03","1.0.0"
"/guides/chlorine","2026-09-03","1.0.0"
"/guides/chlorine-guide","2026-09-03","1.0.0"
"/guides/chlorine/chlorine-too-high-after-shocking","2026-09-03","1.0.0"
"/guides/chlorine/free-chlorine-vs-total-chlorine","2026-09-03","1.0.0"
"/guides/chlorine/how-often-should-i-shock-my-pool","2026-09-03","1.0.0"
"/guides/chlorine/why-pool-chlorine-disappears-overnight","2026-09-03","1.0.0"
"/guides/chlorine/why-pool-wont-hold-chlorine","2026-09-03","1.0.0"
"/guides/edge-cases","2026-09-03","1.0.0"
"/guides/edge-cases/evaporation-effect-on-pool-chemistry","2026-09-03","1.0.0"
"/guides/edge-cases/high-cya-chlorine-lock","2026-09-03","1.0.0"
"/guides/edge-cases/over-shocking-pool-effects","2026-09-03","1.0.0"
"/guides/edge-cases/pool-temperature-effect-chlorine","2026-09-03","1.0.0"
"/guides/edge-cases/rain-effect-on-pool-chemistry","2026-09-03","1.0.0"
"/guides/edge-cases/swimming-after-shocking-pool","2026-09-03","1.0.0"
"/guides/hot-tub","2026-09-03","1.0.0"
"/guides/hot-tub-chemistry","2026-09-03","1.0.0"
"/guides/hot-tub-maintenance","2026-09-03","1.0.0"
"/guides/hot-tub/hot-tub-alkalinity-too-high","2026-09-03","1.0.0"
"/guides/hot-tub/hot-tub-chlorine-too-high","2026-09-03","1.0.0"
"/guides/hot-tub/hot-tub-chlorine-too-low","2026-09-03","1.0.0"
