"url","priority","tier","type"
"/reports/phase-7a","16","Tier 4","qa"
"/audit/google","21","Tier 4","documentation"
"/reports/accessibility","24","Tier 4","qa"
"/reports/ai-readiness","24","Tier 4","qa"
"/reports/architecture","24","Tier 4","qa"
"/reports/calculators","24","Tier 4","qa"
"/reports/content","24","Tier 4","qa"
"/reports/datasets","24","Tier 4","qa"
"/reports/entities","24","Tier 4","qa"
"/reports/indexing-intelligence","24","Tier 4","qa"
"/reports/links","24","Tier 4","qa"
"/reports/mobile","24","Tier 4","qa"
"/reports/performance","24","Tier 4","qa"
"/reports/schema","24","Tier 4","qa"
"/reports/seo","24","Tier 4","qa"
"/audit/google/authority-flow","26","Tier 4","documentation"
"/audit/google/crawl-depth","26","Tier 4","documentation"
"/audit/google/freshness","26","Tier 4","documentation"
"/audit/google/priority-report","26","Tier 4","documentation"
"/audit/google/search-console-helper","26","Tier 4","documentation"
"/audit/google/weak-pages","26","Tier 4","documentation"
"/releases/1.0.0","31","Tier 4","release"
"/releases/1.1.0","31","Tier 4","release"
"/components/ad","32","Tier 3","other"
"/components/global-schema","32","Tier 3","other"
"/editorial/content-standards","37","Tier 4","documentation"
"/editorial/review-process","37","Tier 4","documentation"
"/methodology/calculation-assumptions","38","Tier 4","documentation"
"/methodology/calculation-methodology","38","Tier 4","documentation"
"/methodology/confidence-system","38","Tier 4","documentation"
"/methodology/formula-selection","38","Tier 4","documentation"
"/methodology/known-limitations","38","Tier 4","documentation"
"/methodology/precision-policy","38","Tier 4","documentation"
"/methodology/rounding-policy","38","Tier 4","documentation"
"/404","38","Tier 3","other"
"/qa/certification","38","Tier 4","qa"
"/editorial/correction-policy","45","Tier 4","documentation"
"/editorial/update-policy","45","Tier 4","documentation"
"/releases/compatibility","46","Tier 4","release"
"/printable/maintenance-checklist","47","Tier 3","other"
"/printables/hot-tub-maintenance-log","47","Tier 3","other"
"/provenance","47","Tier 3","other"
"/printables/airbnb-pool-turnover-checklist","48","Tier 3","other"
"/revisions","50","Tier 3","other"
"/charts","55","Tier 3","other"
"/pool-chemistry-system","55","Tier 3","other"
"/legal","62","Tier 3","other"
"/entities/manganese","63","Tier 2","entity"
"/entities/unit-mg-l","63","Tier 2","entity"
"/printables/pool-maintenance-checklist","63","Tier 3","other"
"/entities/chemical-feeder","65","Tier 2","entity"
"/entities/foaming","65","Tier 2","entity"
"/entities/heater","65","Tier 2","entity"
"/glossary/algaecide","66","Tier 3","glossary"
"/glossary/ammonia","66","Tier 3","glossary"
"/glossary/bather-load","66","Tier 3","glossary"
"/glossary/carbon-dioxide","66","Tier 3","glossary"
"/glossary/chemical-storage","66","Tier 3","glossary"
"/glossary/closing-chemical-kit","66","Tier 3","glossary"
"/glossary/colorimetric-test","66","Tier 3","glossary"
"/glossary/conductivity","66","Tier 3","glossary"
"/glossary/dead-algae","66","Tier 3","glossary"
"/glossary/dilution","66","Tier 3","glossary"
"/glossary/dpd-test","66","Tier 3","glossary"
"/glossary/main-drain","66","Tier 3","glossary"
"/glossary/opening-chemical-kit","66","Tier 3","glossary"
"/glossary/pink-slime","66","Tier 3","glossary"
"/glossary/pool-maintenance-schedule","66","Tier 3","glossary"
"/glossary/pool-safety-equipment","66","Tier 3","glossary"
"/glossary/return-jet","66","Tier 3","glossary"
"/glossary/scale-inhibitor","66","Tier 3","glossary"
"/glossary/uv-sanitization","66","Tier 3","glossary"
"/glossary/water-balance-checklist","66","Tier 3","glossary"
"/entities/commercial-pool","66","Tier 2","entity"
"/entities/swim-spa","66","Tier 2","entity"
"/glossary/algae-bloom","67","Tier 3","glossary"
"/glossary/breakpoint-dose","67","Tier 3","glossary"
"/glossary/chlorine-demand","67","Tier 3","glossary"
"/glossary/hypochlorous-acid","67","Tier 3","glossary"
"/glossary/pool-shock-schedule","67","Tier 3","glossary"
"/glossary/pool-volume-reference","67","Tier 3","glossary"
"/glossary/saturated-ph","67","Tier 3","glossary"
"/glossary/shock-dosage","67","Tier 3","glossary"
"/glossary/ozone","68","Tier 3","glossary"
"/glossary/water-test-log","68","Tier 3","glossary"
"/glossary/ph-increaser","70","Tier 3","glossary"
"/maintenance","70","Tier 3","other"
"/tools","70","Tier 3","other"
"/glossary/bicarbonate-alkalinity","71","Tier 3","glossary"
"/entities/closing-checklist","72","Tier 2","entity"
"/entities/maintenance-log","73","Tier 2","entity"
"/entities/opening-checklist","73","Tier 2","entity"
"/glossary/biofilm","76","Tier 3","glossary"
"/glossary/chemical-compatibility","76","Tier 3","glossary"
"/glossary/clarifier","76","Tier 3","glossary"
"/glossary/evaporation","76","Tier 3","glossary"
"/glossary/flocculant","76","Tier 3","glossary"
"/glossary/metal-sequestrant","76","Tier 3","glossary"
"/glossary/multiport-valve","76","Tier 3","glossary"
"/glossary/mustard-algae","76","Tier 3","glossary"
"/glossary/oto-test","76","Tier 3","glossary"
"/glossary/oxidizer","76","Tier 3","glossary"
"/glossary/partial-drain","76","Tier 3","glossary"
"/glossary/pool-chemistry-reference","76","Tier 3","glossary"
"/glossary/pressure-gauge","76","Tier 3","glossary"
"/glossary/reagent","76","Tier 3","glossary"
"/glossary/test-strip","76","Tier 3","glossary"
"/glossary/total-hardness","76","Tier 3","glossary"
"/glossary/aggressive-water","77","Tier 3","glossary"
"/glossary/ph-bounce","77","Tier 3","glossary"
"/glossary/pool-turnover-rate","77","Tier 3","glossary"
"/glossary/sanitizer","77","Tier 3","glossary"
"/glossary/scaling-water","77","Tier 3","glossary"
"/entities/epa","77","Tier 2","entity"
"/entities/nsf","77","Tier 2","entity"
"/releases","77","Tier 4","release"
"/glossary/copper","78","Tier 3","glossary"
"/glossary/iron","78","Tier 3","glossary"
"/glossary/orp","78","Tier 3","glossary"
"/glossary/skimmer","78","Tier 3","glossary"
"/glossary/total-dissolved-solids","78","Tier 3","glossary"
"/entities/unit-celsius","78","Tier 2","entity"
"/glossary/bcdmh","79","Tier 3","glossary"
"/glossary/cartridge-filter","79","Tier 3","glossary"
"/glossary/chemical-log","79","Tier 3","glossary"
"/glossary/de-filter","79","Tier 3","glossary"
"/glossary/sand-filter","79","Tier 3","glossary"
"/glossary/winterization","79","Tier 3","glossary"
"/entities/liters","79","Tier 2","entity"
"/entities/skimmer","79","Tier 2","entity"
"/entities/unit-fahrenheit","79","Tier 2","entity"
"/entities/unit-gallons","79","Tier 2","entity"
"/entities/unit-liters","79","Tier 2","entity"
"/entities/unit-minutes","79","Tier 2","entity"
"/entities/unit-months","79","Tier 2","entity"
"/glossary/bromine","80","Tier 3","glossary"
"/glossary/chlorine-stabilizer","80","Tier 3","glossary"
"/glossary/parts-per-million","80","Tier 3","glossary"
"/glossary/pool-volume","80","Tier 3","glossary"
"/glossary/sodium-bicarbonate","80","Tier 3","glossary"
"/glossary/sodium-carbonate","80","Tier 3","glossary"
"/glossary/sodium-hypochlorite","80","Tier 3","glossary"
"/glossary/water-temperature","80","Tier 3","glossary"
"/entities/high-chlorine","80","Tier 2","entity"
"/entities/unit-ppm","80","Tier 2","entity"
"/glossary/muriatic-acid","81","Tier 3","glossary"
"/glossary/pool-pump","81","Tier 3","glossary"
"/glossary/saturation-index","81","Tier 3","glossary"
"/glossary/shock","81","Tier 3","glossary"
"/glossary/total-alkalinity","81","Tier 3","glossary"
