family,page_count,risk,avg_pairwise_similarity,high_similarity_pairs,repeated_paragraph_blocks,repeated_headings,repeated_faqs,repeated_tables
programmatic/hot-tubs,6,HIGH,0.711,10,25,18,3,0
programmatic/shock,7,HIGH,0.689,15,23,18,3,0
programmatic/chlorine,12,HIGH,0.651,55,26,18,3,0
programmatic/ph,5,HIGH,0.579,5,31,20,5,1
releases,4,MEDIUM,0.436,0,5,10,0,1
calculators,15,MEDIUM,0.279,0,4,19,0,0
reports,13,MEDIUM,0.262,0,1,6,0,3
guides,7,LOW,0.227,0,4,2,0,0
entities,105,LOW,0.225,1,46,198,0,0
glossary,101,LOW,0.18,0,7,30,0,0
resources,9,LOW,0.158,0,2,12,0,0
reference/datasets,16,LOW,0.157,0,2,5,0,0
root,12,LOW,0,0,0,8,1,0
academy/equipment,7,LOW,0,0,5,8,0,0
academy/fundamentals,7,LOW,0,0,4,8,0,0
academy/hot-tubs,7,LOW,0,0,4,8,0,0
academy/sanitizers,7,LOW,0,0,6,9,0,0
academy/testing,7,LOW,0,0,5,8,0,0
academy/troubleshooting,7,LOW,0,0,4,8,0,0
academy/vacation-rentals,7,LOW,0,0,3,8,0,0
academy/water-balance,7,LOW,0,0,4,8,0,0
audit/google,7,LOW,0,0,0,0,0,0
charts,4,LOW,0,0,0,4,0,0
comparisons,8,LOW,0,0,2,12,0,0
formulas,10,LOW,0,0,0,6,0,0
guides/advanced,5,LOW,0,0,1,9,0,0
guides/chlorine,6,LOW,0,0,1,7,0,0
guides/edge-cases,6,LOW,0,0,2,9,0,0
guides/hot-tub,6,LOW,0,0,1,7,0,0
guides/ph,6,LOW,0,0,1,8,0,0
guides/questions,7,LOW,0,0,2,11,0,0
guides/seasonal,5,LOW,0,0,1,9,0,0
legal,3,LOW,0,0,0,1,0,0
maintenance,4,LOW,0,0,0,1,0,0
printables,3,LOW,0,0,0,0,0,0
programmatic/behavior,4,LOW,0,0,9,13,0,0
programmatic/explanations,4,LOW,0,0,7,14,0,0
programmatic/problems,5,LOW,0,0,10,14,0,0
reference,37,LOW,0,0,4,17,0,0
