url,page_type,visible_content_type,schema_types_present,schema_types_expected,schema_status,questionable_reason,missing_reason,source_of_schema,generator,template
"https://waterbalancetools.com/404","ROOT_CHART_OR_UTILITY","has_h1","BreadcrumbList;ListItem","BreadcrumbList","NOT_APPLICABLE","","Internal tooling / non-production directory per url-policy.js.","generator","see PRODUCTION-CHANGES.md","ROOT_CHART_OR_UTILITY"
"https://waterbalancetools.com/about/","STATIC","has_h1","BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","STATIC"
"https://waterbalancetools.com/academy/equipment/automatic-chlorinators","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/","GUIDE","has_h1","BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/pool-filters","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/pool-pumps","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/pool-skimmers","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/salt-systems","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/how-water-balance-works","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/","GUIDE","has_h1","BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/hot-tubs/","GUIDE","has_h1","BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
"https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use","GUIDE","has_h1","Article;Organization;BreadcrumbList;ListItem","BreadcrumbList","COMPLETE","","","generator","see PRODUCTION-CHANGES.md","GUIDE"
