url,file_path,page_type,cluster,incoming_internal_links,outgoing_internal_links,inbound_bucket,crawl_depth,is_orphan
https://waterbalancetools.com/404,404.html,error,root,0,11,0,,true
https://waterbalancetools.com/about/,about/index.html,trust,about,461,25,5+,1,false
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,academy-article,academy/equipment,9,32,5+,3,false
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,academy-article,academy/equipment,7,28,5+,2,false
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,academy-article,academy/equipment,16,34,5+,3,false
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,academy-article,academy/equipment,16,33,5+,3,false
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,academy-article,academy/equipment,8,32,5+,3,false
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,academy-article,academy/equipment,12,32,5+,3,false
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,academy-article,academy/equipment,14,31,5+,3,false
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy-article,academy/fundamentals,11,35,5+,3,false
https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,academy-article,academy/fundamentals,16,37,5+,3,false
https://waterbalancetools.com/academy/fundamentals/,academy/fundamentals/index.html,academy-article,academy/fundamentals,8,29,5+,2,false
https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry,academy/fundamentals/indoor-pool-chemistry.html,academy-article,academy/fundamentals,8,37,5+,3,false
https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry,academy/fundamentals/pool-vs-hot-tub-chemistry.html,academy-article,academy/fundamentals,13,37,5+,3,false
https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests,academy/fundamentals/the-four-core-water-tests.html,academy-article,academy/fundamentals,17,39,5+,3,false
https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry,academy/fundamentals/understanding-pool-water-chemistry.html,academy-article,academy/fundamentals,18,40,5+,3,false
https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters,academy/fundamentals/why-water-testing-matters.html,academy-article,academy/fundamentals,9,34,5+,3,false
https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance,academy/hot-tubs/daily-spa-maintenance.html,academy-article,academy/hot-tubs,11,34,5+,3,false
https://waterbalancetools.com/academy/hot-tubs/,academy/hot-tubs/index.html,academy-article,academy/hot-tubs,7,28,5+,2,false
https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance,academy/hot-tubs/monthly-spa-maintenance.html,academy-article,academy/hot-tubs,8,31,5+,3,false
https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub,academy/hot-tubs/refilling-your-hot-tub.html,academy-article,academy/hot-tubs,14,36,5+,3,false
https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use,academy/hot-tubs/shock-after-heavy-use.html,academy-article,academy/hot-tubs,9,32,5+,3,false
https://waterbalancetools.com/academy/hot-tubs/weekly-spa-maintenance,academy/hot-tubs/weekly-spa-maintenance.html,academy-article,academy/hot-tubs,11,34,5+,3,false
